32 -22.954165 -43.639654 0 0.02519515321679002 0.7407312123232296 0.030974940931937988 0.10929442932493985  395 0.958 1506 0.936 345 0.958 1256 0.915 764 0.915 1182 0.936
33 -22.940827 -43.190608 0 0.01417725110215759 0.31675392782032635 0.49374096862496475 1.3368597262310555  907 0.928 1382 0.959 31 0.916 841 0.959 1497 0.935 486 0.916
34 -22.874101 -43.379564 0 0.7985662232799482 0.0061814159496518615 0.02030186811274088 0.03182184101662082  751 0.959 1437 0.916 147 0.936 1144 0.959 1110 0.936 10 0.916
35 -22.897419 -43.189572 0 0.4560935849104591 0.013917927660769505 0.3521020411977927 0.7945761136500517  1290 0.917 1407 0.936 1493 0.894 1157 0.959
36 -22.853703 -43.388291 0 0.33250178008453957 0.1846321988919066 0.28311645996007595 0.1707415496498517  1495 0.936 1568 0.959 643 0.917 763 0.937 333 0.917 1577 0.959
37 -22.877766 -43.711518 0 0.04836967027519783 0.7330784998904509 0.003441023149812846 0.13164631376111804  187 0.937 264 0.958 129 0.916 1428 0.958 337 0.842
38 -22.891612 -43.300080 0 0.020521457405557688 0.0 0.8044599625928699 1.05920769260105  1067 0.959 952 0.936 862 0.916 198 0.916 1539 0.959 790 0.936
39 -23.011051 -43.481233 0 0.04762652849315178 0.36902495961184195 0.2251755182415475 0.20288007678883307  97 0.958 427 0.915 1587 0.935 968 0.935 348 0.915 412 0.958
40 -22.990680 -43.489958 0 0.1265431174107543 0.37568643804452373 0.3162633913424918 0.1132115363094673  1148 0.936 783 0.915 602 0.915 404 0.958 405 0.958 1224 0.936
41 -23.030468 -43.567767 0 0.0 0.8061878618473759 0.017367485928935566 0.05891215600750851  1441 0.914 1396 0.958 897 0.935 572 0.915 1030 0.958 469 0.935
42 -23.010850 -43.428975 0 0.07098503175086845 0.2864599538587719 0.31975941127929114 0.21354048995170505  726 0.958 1280 0.915 428 0.958 1223 0.935 830 0.813 1590 0.804
